boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-0139200010347.bu,o00407-0139200010347.bu,149,49,4,1,UE2020
o00407-0107400040110.bu,o00407-0107400040110.bu,125,40,1,4,UE2010
o00407-0139200090195.bu,o00407-0139200090195.bu,188,68,3,3,UE2020
o00407-0139200010750.bu,o00407-0139200010750.bu,152,83,2,8,UE2020
o00407-0107400040390.bu,o00407-0107400040390.bu,138,39,4,3,UE2009
o00407-0139200090022.bu,o00407-0139200090022.bu,191,74,3,6,UE2020
o00407-0110400050028.bu,o00407-0110400050028.bu,81,78,1,3,UE2015
o00407-0107400040348.bu,o00407-0107400040348.bu,139,26,1,0,UE2010
o00407-0139200010777.bu,o00407-0139200010777.bu,186,67,3,4,UE2020
o00407-0139200010273.bu,o00407-0139200010273.bu,122,52,2,1,UE2020
o00407-0113900070027.bu,o00407-0113900070027.bu,85,65,1,4,UE2011
o00407-0139200090286.bu,o00407-0139200090286.bu,152,91,5,2,UE2020
o00407-0139200010650.bu,o00407-0139200010650.bu,204,56,6,7,UE2020
o00407-0102300010598.bu,o00407-0102300010598.bu,161,50,0,0,UE2015
o00407-0139200010743.bu,o00407-0139200010743.bu,138,41,2,4,UE2020
o00407-0139200010475.bu,o00407-0139200010475.bu,152,56,6,2,UE2020
o00407-0107400040341.bu,o00407-0107400040341.bu,161,48,1,2,UE2010
o00407-0104000040074.bu,o00407-0104000040074.bu,100,105,1,4,UE2010
o00407-0139200010659.bu,o00407-0139200010659.bu,164,58,3,3,UE2020
o00407-0139200090143.bu,o00407-0139200090143.bu,198,59,2,6,UE2020
o00407-0112000080132.bu,o00407-0112000080132.bu,117,31,0,2,UE2009
o00407-0111200060096.bu,o00407-0111200060096.bu,122,42,1,0,UE2015
o00407-0145700030142.bu,o00407-0145700030142.bu,87,44,0,4,UE2013
o00407-0139200010559.bu,o00407-0139200010559.bu,88,41,1,3,UE2020
o00407-0155400030139.bu,o00407-0155400030139.bu,109,65,1,7,UE2013
o00407-0100700090413.bu,o00407-0100700090413.bu,62,8,0,2,UE2013
o00407-0111200060009.bu,o00407-0111200060009.bu,155,54,1,1,UE2015
o00407-0139200090091.bu,o00407-0139200090091.bu,212,70,6,4,UE2020
o00407-0112000080232.bu,o00407-0112000080232.bu,136,31,1,1,UE2009
o00407-0102300010622.bu,o00407-0102300010622.bu,121,37,1,2,UE2015
o00407-0139200010444.bu,o00407-0139200010444.bu,201,57,3,5,UE2020
o00407-0147300050094.bu,o00407-0147300050094.bu,91,76,0,3,UE2015
o00407-0139200090098.bu,o00407-0139200090098.bu,210,49,4,3,UE2020
o00407-0139200090116.bu,o00407-0139200090116.bu,193,70,3,4,UE2020
o00407-0139200090355.bu,o00407-0139200090355.bu,166,73,6,1,UE2020
o00407-0153800080200.bu,o00407-0153800080200.bu,122,42,1,1,UE2020
o00407-0139200090250.bu,o00407-0139200090250.bu,175,55,5,3,UE2020
o00407-0111200060069.bu,o00407-0111200060069.bu,131,41,0,1,UE2015
o00407-0113900070071.bu,o00407-0113900070071.bu,5,260,1,2,UE2011
o00407-0101500020081.bu,o00407-0101500020081.bu,126,50,1,4,UE2009
o00407-0107400040069.bu,o00407-0107400040069.bu,129,44,2,3,UE2010
o00407-0139200010731.bu,o00407-0139200010731.bu,172,68,3,2,UE2020
o00407-0107400040370.bu,o00407-0107400040370.bu,146,29,4,2,UE2010
o00407-0147300050021.bu,o00407-0147300050021.bu,95,84,0,5,UE2015
o00407-0139200010661.bu,o00407-0139200010661.bu,187,71,5,3,UE2020
o00407-0100700090004.bu,o00407-0100700090004.bu,154,89,5,3,UE2013
o00407-0139200010264.bu,o00407-0139200010264.bu,102,40,2,6,UE2020
o00407-0139200090409.bu,o00407-0139200090409.bu,140,118,1,3,UE2020
o00407-0105800060006.bu,o00407-0105800060006.bu,147,63,0,1,UE2015
o00407-0139200010655.bu,o00407-0139200010655.bu,185,57,5,6,UE2020
o00407-0139200090341.bu,o00407-0139200090341.bu,190,68,2,3,UE2020
o00407-0105800060044.bu,o00407-0105800060044.bu,142,54,1,1,UE2015
o00407-0157000060095.bu,o00407-0157000060095.bu,117,47,1,3,UE2015
o00407-0109000040432.bu,o00407-0109000040432.bu,148,29,0,3,UE2010
o00407-0139200090124.bu,o00407-0139200090124.bu,186,64,3,2,UE2020
o00407-0139200010047.bu,o00407-0139200010047.bu,112,52,7,2,UE2020
o00407-0155400030051.bu,o00407-0155400030051.bu,106,80,0,5,UE2013
o00407-0113900070079.bu,o00407-0113900070079.bu,75,43,0,6,UE2011
o00407-0109000040439.bu,o00407-0109000040439.bu,102,38,1,0,UE2010
o00407-0145700030131.bu,o00407-0145700030131.bu,94,44,1,2,UE2013
o00407-0101500020090.bu,o00407-0101500020090.bu,144,47,1,2,UE2009
o00407-0139200010147.bu,o00407-0139200010147.bu,109,50,8,2,UE2020
o00407-0139200090408.bu,o00407-0139200090408.bu,162,76,3,4,UE2020
o00407-0102300010604.bu,o00407-0102300010604.bu,133,50,1,2,UE2009
o00407-0139200090038.bu,o00407-0139200090038.bu,194,67,4,4,UE2020
o00407-0139200090283.bu,o00407-0139200090283.bu,159,65,4,2,UE2020
o00407-0112000080101.bu,o00407-0112000080101.bu,163,41,0,3,UE2009
o00407-0139200090448.bu,o00407-0139200090448.bu,135,137,5,7,UE2020
o00407-0109000040436.bu,o00407-0109000040436.bu,119,45,3,4,UE2010
o00407-0107400040342.bu,o00407-0107400040342.bu,151,58,3,3,UE2010
o00407-0108200040225.bu,o00407-0108200040225.bu,151,35,2,1,UE2010
o00407-0155400030126.bu,o00407-0155400030126.bu,92,69,1,3,UE2013
o00407-0139200090021.bu,o00407-0139200090021.bu,184,75,2,6,UE2020
o00407-0139200090418.bu,o00407-0139200090418.bu,136,75,8,3,UE2020
o00407-0139200010028.bu,o00407-0139200010028.bu,116,60,2,6,UE2020
o00407-0139200010453.bu,o00407-0139200010453.bu,148,57,3,3,UE2020
o00407-0102300010626.bu,o00407-0102300010626.bu,136,46,1,1,UE2015
o00407-0139200010193.bu,o00407-0139200010193.bu,96,43,1,2,UE2020
o00407-0139200090451.bu,o00407-0139200090451.bu,80,30,2,1,UE2020
o00407-0139200090452.bu,o00407-0139200090452.bu,69,41,3,3,UE2020
o00407-0111200060116.bu,o00407-0111200060116.bu,160,50,0,0,UE2015
o00407-0104000040444.bu,o00407-0104000040444.bu,66,27,0,2,UE2010
o00407-0139200010025.bu,o00407-0139200010025.bu,164,72,5,5,UE2020
o00407-0149000020057.bu,o00407-0149000020057.bu,103,73,3,3,UE2009
o00407-0139200090180.bu,o00407-0139200090180.bu,194,72,5,5,UE2020
o00407-0111200060105.bu,o00407-0111200060105.bu,168,45,0,2,UE2015
o00407-0147300050107.bu,o00407-0147300050107.bu,75,56,2,2,UE2015
o00407-0139200010182.bu,o00407-0139200010182.bu,191,64,3,4,UE2020
o00407-0104000040223.bu,o00407-0104000040223.bu,76,46,2,3,UE2010
o00407-0108200040212.bu,o00407-0108200040212.bu,107,31,0,1,UE2010
o00407-0139200090055.bu,o00407-0139200090055.bu,165,68,2,10,UE2020
o00407-0102300010585.bu,o00407-0102300010585.bu,184,44,1,2,UE2015
o00407-0149000020019.bu,o00407-0149000020019.bu,91,65,1,2,UE2009
o00407-0157000060093.bu,o00407-0157000060093.bu,167,70,3,1,UE2015
o00407-0145700030001.bu,o00407-0145700030001.bu,101,52,6,1,UE2009
o00407-0139200090435.bu,o00407-0139200090435.bu,161,71,5,3,UE2020
o00407-0139200010803.bu,o00407-0139200010803.bu,154,39,3,1,UE2020
o00407-0139200010511.bu,o00407-0139200010511.bu,103,31,3,1,UE2009
o00407-0139200090459.bu,o00407-0139200090459.bu,49,29,4,2,UE2020
o00407-0111200060060.bu,o00407-0111200060060.bu,173,52,1,6,UE2015
o00407-0105800060089.bu,o00407-0105800060089.bu,154,46,1,1,UE2015
o00407-0107400040025.bu,o00407-0107400040025.bu,151,43,3,2,UE2010
o00407-0104000040182.bu,o00407-0104000040182.bu,28,67,0,7,UE2010
o00407-0139200010490.bu,o00407-0139200010490.bu,201,48,1,5,UE2020
o00407-0139200010422.bu,o00407-0139200010422.bu,158,52,5,8,UE2020
o00407-0139200010447.bu,o00407-0139200010447.bu,192,51,2,4,UE2020
o00407-0139200010077.bu,o00407-0139200010077.bu,104,46,3,3,UE2020
o00407-0139200010565.bu,o00407-0139200010565.bu,108,49,2,2,UE2020
o00407-0102300010628.bu,o00407-0102300010628.bu,136,36,2,0,UE2015
o00407-0145700030119.bu,o00407-0145700030119.bu,136,32,0,3,UE2013
o00407-0111200060064.bu,o00407-0111200060064.bu,165,50,2,2,UE2015
o00407-0147300050104.bu,o00407-0147300050104.bu,4,232,1,9,UE2015
o00407-0139200090273.bu,o00407-0139200090273.bu,103,53,1,5,UE2020
