boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-2785500020144.bu,o00407-2785500020144.bu,170,147,4,10,UE2020
o00407-2783900470106.bu,o00407-2783900470106.bu,45,154,1,18,UE2015
o00407-2867300510015.bu,o00407-2867300510015.bu,44,180,2,24,UE2010
o00407-2845200140066.bu,o00407-2845200140066.bu,110,86,1,11,UE2015
o00407-2845200140072.bu,o00407-2845200140072.bu,137,110,2,15,UE2015
o00407-2705700220050.bu,o00407-2705700220050.bu,159,144,4,12,UE2010
o00407-2859200190242.bu,o00407-2859200190242.bu,42,89,2,8,UE2015
o00407-2881900450088.bu,o00407-2881900450088.bu,53,173,1,21,UE2010
o00407-2741300160114.bu,o00407-2741300160114.bu,86,85,4,8,UE2013
o00407-2705700220037.bu,o00407-2705700220037.bu,146,162,7,10,UE2013
o00407-2709000170090.bu,o00407-2709000170090.bu,93,124,7,16,UE2015
o00407-2827400110027.bu,o00407-2827400110027.bu,46,160,3,10,UE2009
o00407-2705700550066.bu,o00407-2705700550066.bu,164,125,5,12,UE2010
o00407-2705700220468.bu,o00407-2705700220468.bu,150,159,2,20,UE2015
o00407-2785500030080.bu,o00407-2785500030080.bu,136,121,5,19,UE2020
o00407-2733200060150.bu,o00407-2733200060150.bu,96,161,2,11,UE2020
o00407-2785500010506.bu,o00407-2785500010506.bu,181,103,4,8,UE2020
o00407-2845200140123.bu,o00407-2845200140123.bu,102,66,1,8,UE2009
o00407-2845200140111.bu,o00407-2845200140111.bu,101,128,6,17,UE2009
o00407-2785500020321.bu,o00407-2785500020321.bu,147,132,1,8,UE2020
o00407-2815000400221.bu,o00407-2815000400221.bu,34,237,4,17,UE2015
o00407-2857600080084.bu,o00407-2857600080084.bu,87,186,3,10,UE2020
o00407-2861400210015.bu,o00407-2861400210015.bu,54,165,0,10,UE2010
o00407-2853300150216.bu,o00407-2853300150216.bu,72,120,5,9,UE2020
o00407-2845200140084.bu,o00407-2845200140084.bu,92,98,2,5,UE2010
