boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-0255000320863.bu,o00407-0255000320863.bu,165,108,2,10,UE2020
o00407-0299200060251.bu,o00407-0299200060251.bu,64,158,0,11,UE2010
o00407-0217800150021.bu,o00407-0217800150021.bu,67,146,1,5,UE2015
o00407-0255000320627.bu,o00407-0255000320627.bu,175,114,4,7,UE2020
o00407-0255000620322.bu,o00407-0255000620322.bu,205,126,4,8,UE2015
o00407-0255000320884.bu,o00407-0255000320884.bu,200,115,4,9,UE2020
o00407-0255000580923.bu,o00407-0255000580923.bu,211,100,7,11,UE2020
o00407-0255000700642.bu,o00407-0255000700642.bu,186,136,2,12,UE2020
o00407-0255000310622.bu,o00407-0255000310622.bu,211,120,1,16,UE2020
o00407-0255000400578.bu,o00407-0255000400578.bu,232,89,4,6,UE2020
o00407-0255000010919.bu,o00407-0255000010919.bu,184,103,5,15,UE2020
o00407-0255000590650.bu,o00407-0255000590650.bu,198,83,8,10,UE2020
o00407-0251800120041.bu,o00407-0251800120041.bu,78,161,1,14,UE2015
o00407-0269000040248.bu,o00407-0269000040248.bu,81,236,3,4,UE2011
o00407-0267400290067.bu,o00407-0267400290067.bu,20,103,0,8,UE2015
o00407-0255000630610.bu,o00407-0255000630610.bu,195,144,6,14,UE2020
o00407-0255000320765.bu,o00407-0255000320765.bu,171,91,2,12,UE2020
o00407-0255000020535.bu,o00407-0255000020535.bu,189,105,4,11,UE2020
o00407-0209700180018.bu,o00407-0209700180018.bu,100,181,0,10,UE2015
o00407-0241000030281.bu,o00407-0241000030281.bu,10,48,0,2,UE2010
o00407-0255000630759.bu,o00407-0255000630759.bu,165,133,9,15,UE2020
o00407-0255000580924.bu,o00407-0255000580924.bu,199,110,5,11,UE2020
o00407-0255000580870.bu,o00407-0255000580870.bu,212,111,7,19,UE2020
o00407-0213500200027.bu,o00407-0213500200027.bu,21,190,0,6,UE2010
o00407-0207000350013.bu,o00407-0207000350013.bu,45,156,1,24,UE2015
o00407-0251800120010.bu,o00407-0251800120010.bu,81,152,1,17,UE2015
o00407-0255000590557.bu,o00407-0255000590557.bu,202,119,8,9,UE2020
o00407-0257700160057.bu,o00407-0257700160057.bu,12,179,0,10,UE2015
o00407-0255000400570.bu,o00407-0255000400570.bu,218,112,2,10,UE2020
o00407-0281000090029.bu,o00407-0281000090029.bu,102,168,0,9,UE2013
o00407-0255000310519.bu,o00407-0255000310519.bu,155,94,4,9,UE2020
o00407-9841800510045.bu,o00407-9841800510045.bu,101,115,0,2,UE2015
o00407-0204600310766.bu,o00407-0204600310766.bu,97,112,2,12,UE2015
o00407-0255000020784.bu,o00407-0255000020784.bu,160,165,7,9,UE2020
o00407-0223200230079.bu,o00407-0223200230079.bu,73,123,6,7,UE2010
o00407-0281000090021.bu,o00407-0281000090021.bu,101,145,1,8,UE2013
o00407-0225900080143.bu,o00407-0225900080143.bu,65,114,0,12,UE2010
o00407-0255000010654.bu,o00407-0255000010654.bu,174,99,3,13,UE2020
o00407-0281000090108.bu,o00407-0281000090108.bu,61,161,4,18,UE2013
o00407-0223200230129.bu,o00407-0223200230129.bu,69,92,1,9,UE2010
o00407-9843400680736.bu,o00407-9843400680736.bu,93,110,2,8,UE2015
o00407-0255000580790.bu,o00407-0255000580790.bu,198,129,7,5,UE2020
o00407-0253400060163.bu,o00407-0253400060163.bu,160,132,2,11,UE2010
o00407-0221600210049.bu,o00407-0221600210049.bu,64,209,4,6,UE2015
o00407-0287900030263.bu,o00407-0287900030263.bu,51,200,0,7,UE2010
o00407-0255000590692.bu,o00407-0255000590692.bu,178,117,5,16,UE2015
o00407-0231300460017.bu,o00407-0231300460017.bu,49,112,0,11,UE2010
o00407-0255000630798.bu,o00407-0255000630798.bu,165,130,4,11,UE2020
o00407-0255000590750.bu,o00407-0255000590750.bu,155,127,7,10,UE2020
o00407-0255000650642.bu,o00407-0255000650642.bu,120,85,3,4,UE2020
o00407-0255000590663.bu,o00407-0255000590663.bu,143,155,5,13,UE2020
o00407-0255000400550.bu,o00407-0255000400550.bu,194,111,1,19,UE2020
o00407-0255000700550.bu,o00407-0255000700550.bu,203,118,4,15,UE2015
o00407-9843400680695.bu,o00407-9843400680695.bu,99,80,2,5,UE2015
o00407-0255000590696.bu,o00407-0255000590696.bu,191,125,0,14,UE2015
o00407-0271200440009.bu,o00407-0271200440009.bu,76,132,1,6,UE2015
o00407-0255000590777.bu,o00407-0255000590777.bu,94,73,4,6,UE2020
o00407-0215100140012.bu,o00407-0215100140012.bu,77,68,0,8,UE2015
o00407-0255000010713.bu,o00407-0255000010713.bu,163,105,4,12,UE2020
o00407-0245300480002.bu,o00407-0245300480002.bu,34,42,0,3,UE2013
o00407-0253400060291.bu,o00407-0253400060291.bu,74,68,0,4,UE2010
o00407-0269000040111.bu,o00407-0269000040111.bu,36,172,3,9,UE2011
o00407-0281000090035.bu,o00407-0281000090035.bu,100,190,4,15,UE2013
o00407-0255000020702.bu,o00407-0255000020702.bu,185,80,0,3,UE2020
o00407-0219400130042.bu,o00407-0219400130042.bu,94,139,2,5,UE2015
o00407-0255000620589.bu,o00407-0255000620589.bu,138,94,3,11,UE2020
o00407-0255000010882.bu,o00407-0255000010882.bu,152,95,0,4,UE2020
o00407-0257700160062.bu,o00407-0257700160062.bu,12,190,0,6,UE2015
o00407-0217800150047.bu,o00407-0217800150047.bu,48,220,0,17,UE2015
o00407-0255000630291.bu,o00407-0255000630291.bu,109,98,3,6,UE2010
o00407-0255000650259.bu,o00407-0255000650259.bu,157,98,8,15,UE2020
o00407-0287900030234.bu,o00407-0287900030234.bu,37,195,0,13,UE2010
o00407-0255000020547.bu,o00407-0255000020547.bu,196,105,5,7,UE2020
o00407-0205400420036.bu,o00407-0205400420036.bu,44,149,1,6,UE2010
o00407-0255000590580.bu,o00407-0255000590580.bu,197,98,3,11,UE2020
o00407-0281000090112.bu,o00407-0281000090112.bu,47,132,2,10,UE2013
o00407-0255000581046.bu,o00407-0255000581046.bu,169,107,4,15,UE2020
o00407-0269000040232.bu,o00407-0269000040232.bu,1,112,0,4,UE2011
o00407-0255000620636.bu,o00407-0255000620636.bu,192,125,1,7,UE2020
o00407-0249600410030.bu,o00407-0249600410030.bu,51,158,1,18,UE2015
