boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-0611400120062.bu,o00407-0611400120062.bu,71,56,1,4,UE2010
o00407-0605000020689.bu,o00407-0605000020689.bu,125,95,2,1,UE2020
o00407-0603300010053.bu,o00407-0603300010053.bu,79,167,3,0,UE2015
o00407-0605000100316.bu,o00407-0605000100316.bu,174,129,4,4,UE2010
o00407-0615700060039.bu,o00407-0615700060039.bu,164,117,2,4,UE2009
o00407-0608400110023.bu,o00407-0608400110023.bu,129,125,1,2,UE2011
o00407-0605000020550.bu,o00407-0605000020550.bu,161,99,4,11,UE2020
o00407-0605000020010.bu,o00407-0605000020010.bu,111,98,4,3,UE2020
o00407-0607600050051.bu,o00407-0607600050051.bu,82,135,3,3,UE2011
o00407-0615700060018.bu,o00407-0615700060018.bu,119,80,0,0,UE2009
o00407-0615700060199.bu,o00407-0615700060199.bu,183,134,3,4,UE2009
o00407-0605000020423.bu,o00407-0605000020423.bu,92,79,2,1,UE2020
o00407-0605000020261.bu,o00407-0605000020261.bu,117,94,0,5,UE2020
o00407-0605000020493.bu,o00407-0605000020493.bu,168,81,6,1,UE2020
o00407-0605000100129.bu,o00407-0605000100129.bu,150,154,3,6,UE2020
o00407-0605000100313.bu,o00407-0605000100313.bu,166,120,2,8,UE2010
o00407-0605000020616.bu,o00407-0605000020616.bu,128,104,4,6,UE2020
o00407-0605000100203.bu,o00407-0605000100203.bu,164,117,0,9,UE2020
o00407-0605000020604.bu,o00407-0605000020604.bu,125,110,3,2,UE2020
o00407-0605000020712.bu,o00407-0605000020712.bu,100,109,0,3,UE2020
o00407-0605000100202.bu,o00407-0605000100202.bu,140,109,2,5,UE2020
o00407-0602500120036.bu,o00407-0602500120036.bu,125,139,1,7,UE2010
o00407-0605000020341.bu,o00407-0605000020341.bu,103,87,1,2,UE2020
o00407-0602500120034.bu,o00407-0602500120034.bu,119,131,1,3,UE2010
o00407-0602500120038.bu,o00407-0602500120038.bu,114,127,5,0,UE2010
o00407-0615700060052.bu,o00407-0615700060052.bu,52,94,0,2,UE2009
o00407-0605000100213.bu,o00407-0605000100213.bu,170,103,2,7,UE2010
o00407-0605000100021.bu,o00407-0605000100021.bu,141,122,3,2,UE2020
o00407-0605000020584.bu,o00407-0605000020584.bu,119,125,0,3,UE2020
o00407-0605000020585.bu,o00407-0605000020585.bu,141,144,2,10,UE2020
o00407-0605000020093.bu,o00407-0605000020093.bu,160,134,4,6,UE2020
o00407-0605000020559.bu,o00407-0605000020559.bu,161,124,3,11,UE2020
o00407-0605000100309.bu,o00407-0605000100309.bu,126,115,3,3,UE2010
o00407-0615700060116.bu,o00407-0615700060116.bu,138,105,4,1,UE2009
o00407-0605000020463.bu,o00407-0605000020463.bu,121,70,3,2,UE2020
o00407-0615700060033.bu,o00407-0615700060033.bu,146,119,2,3,UE2009
o00407-0605000100335.bu,o00407-0605000100335.bu,160,131,7,3,UE2020
o00407-0605000020465.bu,o00407-0605000020465.bu,95,77,0,2,UE2020
o00407-0615700060173.bu,o00407-0615700060173.bu,159,121,6,1,UE2009
