boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-1389700020121.bu,o00407-1389700020121.bu,131,191,1,6,UE2020
o00407-1305600600147.bu,o00407-1305600600147.bu,20,128,3,3,UE2010
o00407-1495800570185.bu,o00407-1495800570185.bu,112,144,4,6,UE2020
o00407-1449400430122.bu,o00407-1449400430122.bu,38,114,4,4,UE2015
o00407-1559800240643.bu,o00407-1559800240643.bu,71,196,6,7,UE2009
o00407-1308000170626.bu,o00407-1308000170626.bu,41,120,4,7,UE2009
o00407-1305600600012.bu,o00407-1305600600012.bu,42,201,0,14,UE2010
o00407-1529600110023.bu,o00407-1529600110023.bu,22,121,1,0,UE2015
o00407-1319600660027.bu,o00407-1319600660027.bu,20,142,1,9,UE2020
o00407-1583000350093.bu,o00407-1583000350093.bu,44,162,5,3,UE2011
o00407-1468000890231.bu,o00407-1468000890231.bu,38,243,3,3,UE2010
o00407-1585701040286.bu,o00407-1585701040286.bu,116,166,7,5,UE2020
o00407-1389701180564.bu,o00407-1389701180564.bu,128,207,5,10,UE2020
o00407-1389700940600.bu,o00407-1389700940600.bu,112,122,3,15,UE2020
o00407-1389701170173.bu,o00407-1389701170173.bu,96,133,2,5,UE2020
o00407-1429000170088.bu,o00407-1429000170088.bu,21,151,1,1,UE2009
o00407-1302100630237.bu,o00407-1302100630237.bu,2,117,0,1,UE2015
o00407-1429000170102.bu,o00407-1429000170102.bu,19,147,0,3,UE2009
o00407-1389700850173.bu,o00407-1389700850173.bu,131,160,1,10,UE2020
o00407-1429000170011.bu,o00407-1429000170011.bu,78,191,2,6,UE2009
o00407-1389700820681.bu,o00407-1389700820681.bu,106,144,3,8,UE2020
o00407-1389701130200.bu,o00407-1389701130200.bu,136,163,5,11,UE2020
o00407-1585701040332.bu,o00407-1585701040332.bu,99,195,4,12,UE2020
o00407-1453200290004.bu,o00407-1453200290004.bu,69,198,7,9,UE2009
o00407-1551200910114.bu,o00407-1551200910114.bu,38,143,3,8,UE2013
o00407-1389700940336.bu,o00407-1389700940336.bu,104,148,1,5,UE2020
o00407-1373001230509.bu,o00407-1373001230509.bu,102,185,5,6,UE2020
o00407-1445100700358.bu,o00407-1445100700358.bu,26,140,1,7,UE2010
o00407-1591101210203.bu,o00407-1591101210203.bu,96,170,3,7,UE2011
o00407-1389701120550.bu,o00407-1389701120550.bu,122,189,6,12,UE2020
o00407-1495800570233.bu,o00407-1495800570233.bu,114,182,3,8,UE2020
o00407-1585701220135.bu,o00407-1585701220135.bu,87,175,5,11,UE2020
o00407-1585701220069.bu,o00407-1585701220069.bu,121,180,5,6,UE2020
o00407-1489300990158.bu,o00407-1489300990158.bu,27,227,2,11,UE2015
o00407-1389700020109.bu,o00407-1389700020109.bu,121,181,6,7,UE2020
o00407-1389701160040.bu,o00407-1389701160040.bu,135,201,4,6,UE2020
o00407-1579200250162.bu,o00407-1579200250162.bu,79,188,2,5,UE2010
o00407-1330700670219.bu,o00407-1330700670219.bu,31,194,4,5,UE2010
o00407-1483400050146.bu,o00407-1483400050146.bu,47,247,3,6,UE2010
o00407-1495800570009.bu,o00407-1495800570009.bu,81,143,4,5,UE2020
o00407-1509101110148.bu,o00407-1509101110148.bu,15,49,0,3,UE2020
o00407-1369200070230.bu,o00407-1369200070230.bu,28,97,4,2,UE2020
o00407-1307201010037.bu,o00407-1307201010037.bu,27,131,1,5,UE2015
o00407-1587300890101.bu,o00407-1587300890101.bu,79,163,2,5,UE2010
o00407-1507500190280.bu,o00407-1507500190280.bu,59,89,0,7,UE2015
o00407-1565200610044.bu,o00407-1565200610044.bu,36,134,3,3,UE2015
o00407-1389700940913.bu,o00407-1389700940913.bu,137,166,7,8,UE2020
o00407-1467200260033.bu,o00407-1467200260033.bu,34,209,9,9,UE2010
o00407-1483400050132.bu,o00407-1483400050132.bu,47,172,0,6,UE2010
o00407-1303000300184.bu,o00407-1303000300184.bu,46,172,4,6,UE2010
o00407-1355200330283.bu,o00407-1355200330283.bu,17,157,0,5,UE2020
o00407-1447801190197.bu,o00407-1447801190197.bu,79,208,8,9,UE2010
o00407-1543100530056.bu,o00407-1543100530056.bu,14,191,1,5,UE2010
o00407-1369200070184.bu,o00407-1369200070184.bu,38,239,2,6,UE2020
o00407-1417600210077.bu,o00407-1417600210077.bu,60,121,2,6,UE2009
o00407-1383800200230.bu,o00407-1383800200230.bu,97,172,5,13,UE2015
o00407-1349800700246.bu,o00407-1349800700246.bu,41,244,4,6,UE2010
o00407-1583000350021.bu,o00407-1583000350021.bu,82,188,2,9,UE2011
o00407-1549000360143.bu,o00407-1549000360143.bu,90,204,0,4,UE2020
o00407-1419200400022.bu,o00407-1419200400022.bu,36,109,1,5,UE2015
o00407-1529600110240.bu,o00407-1529600110240.bu,57,169,2,3,UE2015
o00407-1389701120100.bu,o00407-1389701120100.bu,115,164,3,6,UE2020
o00407-1313700860078.bu,o00407-1313700860078.bu,29,246,3,8,UE2015
o00407-1387000620252.bu,o00407-1387000620252.bu,13,105,3,2,UE2015
o00407-1330700670174.bu,o00407-1330700670174.bu,31,70,1,2,UE2010
