boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-5618900410239.bu,o00407-5618900410239.bu,122,142,5,12,UE2010
o00407-5699500530312.bu,o00407-5699500530312.bu,129,155,4,12,UE2009
o00407-5612000430059.bu,o00407-5612000430059.bu,155,30,1,4,UE2020
o00407-5616200160092.bu,o00407-5616200160092.bu,141,88,2,4,UE2015
o00407-5647200240117.bu,o00407-5647200240117.bu,180,76,4,6,UE2011
o00407-5793200090024.bu,o00407-5793200090024.bu,148,98,3,5,UE2015
o00407-5703700570267.bu,o00407-5703700570267.bu,195,90,6,9,UE2020
o00407-5699500590345.bu,o00407-5699500590345.bu,28,51,2,2,UE2010
o00407-5707000460086.bu,o00407-5707000460086.bu,181,100,3,13,UE2015
o00407-5655300220107.bu,o00407-5655300220107.bu,208,57,3,7,UE2020
o00407-5601400080005.bu,o00407-5601400080005.bu,160,100,1,9,UE2010
o00407-5705300011023.bu,o00407-5705300011023.bu,56,83,6,6,UE2020
o00407-5713400410133.bu,o00407-5713400410133.bu,110,146,5,6,UE2010
o00407-5647200240101.bu,o00407-5647200240101.bu,169,109,7,11,UE2011
o00407-5703700550455.bu,o00407-5703700550455.bu,165,100,4,14,UE2020
o00407-5631600270025.bu,o00407-5631600270025.bu,80,123,4,11,UE2010
o00407-5623500020496.bu,o00407-5623500020496.bu,186,56,6,6,UE2020
o00407-5701000470153.bu,o00407-5701000470153.bu,128,110,4,6,UE2020
o00407-5677400300114.bu,o00407-5677400300114.bu,167,78,4,10,UE2010
o00407-5667700050042.bu,o00407-5667700050042.bu,104,93,2,15,UE2015
o00407-5611100200056.bu,o00407-5611100200056.bu,174,92,2,14,UE2010
o00407-5689800090077.bu,o00407-5689800090077.bu,88,74,2,10,UE2015
o00407-5623500020588.bu,o00407-5623500020588.bu,207,82,6,4,UE2020
o00407-5601400080013.bu,o00407-5601400080013.bu,146,77,9,10,UE2010
o00407-5705300520612.bu,o00407-5705300520612.bu,163,113,1,5,UE2020
o00407-5659600180014.bu,o00407-5659600180014.bu,165,52,0,7,UE2013
o00407-5703700570286.bu,o00407-5703700570286.bu,175,103,8,6,UE2020
o00407-5603000040032.bu,o00407-5603000040032.bu,127,84,1,18,UE2015
o00407-5699500260308.bu,o00407-5699500260308.bu,147,135,6,13,UE2009
o00407-5701000470175.bu,o00407-5701000470175.bu,59,37,1,2,UE2020
o00407-5611100200049.bu,o00407-5611100200049.bu,161,107,4,14,UE2010
o00407-5625100340276.bu,o00407-5625100340276.bu,146,156,3,15,UE2009
o00407-5630800510078.bu,o00407-5630800510078.bu,124,102,3,9,UE2010
o00407-5703700570004.bu,o00407-5703700570004.bu,134,86,3,6,UE2020
o00407-5611100200051.bu,o00407-5611100200051.bu,144,116,2,11,UE2010
o00407-5799100460053.bu,o00407-5799100460053.bu,96,138,2,5,UE2015
o00407-5709600100073.bu,o00407-5709600100073.bu,152,72,2,7,UE2013
o00407-5707000460093.bu,o00407-5707000460093.bu,172,100,6,13,UE2015
o00407-5699500260380.bu,o00407-5699500260380.bu,173,115,4,12,UE2009
o00407-5655300220212.bu,o00407-5655300220212.bu,122,43,4,2,UE2020
o00407-5791600070142.bu,o00407-5791600070142.bu,140,113,3,13,UE2015
o00407-5629400060256.bu,o00407-5629400060256.bu,36,59,3,3,UE2015
o00407-5685500430116.bu,o00407-5685500430116.bu,149,82,2,8,UE2020
o00407-5699500590264.bu,o00407-5699500590264.bu,148,102,3,4,UE2010
o00407-5699500530032.bu,o00407-5699500530032.bu,141,134,7,10,UE2009
o00407-5697900211019.bu,o00407-5697900211019.bu,148,120,5,3,UE2009
o00407-5623500480242.bu,o00407-5623500480242.bu,158,63,2,7,UE2020
o00407-5629400060544.bu,o00407-5629400060544.bu,159,85,2,10,UE2015
o00407-5625100340112.bu,o00407-5625100340112.bu,135,94,7,6,UE2009
o00407-5625100340479.bu,o00407-5625100340479.bu,184,90,1,6,UE2009
o00407-5617000230030.bu,o00407-5617000230030.bu,150,96,1,7,UE2013
o00407-5625100540418.bu,o00407-5625100540418.bu,171,116,8,6,UE2010
o00407-5689800090051.bu,o00407-5689800090051.bu,92,60,4,11,UE2015
o00407-5705300010435.bu,o00407-5705300010435.bu,127,141,1,10,UE2020
o00407-5699500260003.bu,o00407-5699500260003.bu,142,124,3,13,UE2009
o00407-5641300330039.bu,o00407-5641300330039.bu,67,94,4,7,UE2015
o00407-5699500530321.bu,o00407-5699500530321.bu,153,141,5,11,UE2009
o00407-5703700550188.bu,o00407-5703700550188.bu,133,83,6,7,UE2020
o00407-5625100540411.bu,o00407-5625100540411.bu,177,109,7,2,UE2010
o00407-5793200090080.bu,o00407-5793200090080.bu,210,70,3,6,UE2015
o00407-5697900210259.bu,o00407-5697900210259.bu,100,101,5,3,UE2009
o00407-5625100340559.bu,o00407-5625100340559.bu,112,134,9,15,UE2009
o00407-5703700320648.bu,o00407-5703700320648.bu,112,87,3,3,UE2020
o00407-5631600270097.bu,o00407-5631600270097.bu,70,176,5,16,UE2010
o00407-5649900140033.bu,o00407-5649900140033.bu,139,83,5,6,UE2020
o00407-5709600100055.bu,o00407-5709600100055.bu,154,69,4,6,UE2013
o00407-5699500590177.bu,o00407-5699500590177.bu,154,108,8,8,UE2010
o00407-5625100340169.bu,o00407-5625100340169.bu,210,95,6,6,UE2009
o00407-5703700570041.bu,o00407-5703700570041.bu,120,66,3,3,UE2020
o00407-5647200240271.bu,o00407-5647200240271.bu,191,79,7,7,UE2011
o00407-5699500530123.bu,o00407-5699500530123.bu,181,90,2,5,UE2009
o00407-5645600130038.bu,o00407-5645600130038.bu,136,96,5,11,UE2013
o00407-5641300330029.bu,o00407-5641300330029.bu,41,94,2,9,UE2015
o00407-5625100340418.bu,o00407-5625100340418.bu,202,112,3,11,UE2009
o00407-5703700320138.bu,o00407-5703700320138.bu,154,107,13,3,UE2020
o00407-5603000040050.bu,o00407-5603000040050.bu,109,110,0,5,UE2015
o00407-5647200240216.bu,o00407-5647200240216.bu,162,99,3,13,UE2011
o00407-5709600100119.bu,o00407-5709600100119.bu,189,68,1,7,UE2013
o00407-5795900350152.bu,o00407-5795900350152.bu,60,20,0,5,UE2020
o00407-5663400250402.bu,o00407-5663400250402.bu,191,101,5,10,UE2009
o00407-5701000470027.bu,o00407-5701000470027.bu,138,133,1,10,UE2020
o00407-5629400060541.bu,o00407-5629400060541.bu,170,122,2,8,UE2015
o00407-5699500530169.bu,o00407-5699500530169.bu,187,110,1,8,UE2009
o00407-5699500530095.bu,o00407-5699500530095.bu,121,94,5,6,UE2009
o00407-5705300011018.bu,o00407-5705300011018.bu,50,84,2,5,UE2020
o00407-5679000360077.bu,o00407-5679000360077.bu,80,170,5,6,UE2010
o00407-5697900210992.bu,o00407-5697900210992.bu,153,147,3,9,UE2009
o00407-5797500400078.bu,o00407-5797500400078.bu,80,54,7,1,UE2010
o00407-5699500260253.bu,o00407-5699500260253.bu,42,80,0,11,UE2009
o00407-5705300010628.bu,o00407-5705300010628.bu,89,144,5,13,UE2020
o00407-5793200090093.bu,o00407-5793200090093.bu,213,90,5,8,UE2015
o00407-5699500590195.bu,o00407-5699500590195.bu,154,124,2,9,UE2010
o00407-5625100540591.bu,o00407-5625100540591.bu,125,135,8,6,UE2010
o00407-5659600180032.bu,o00407-5659600180032.bu,144,69,5,3,UE2013
o00407-5610300120054.bu,o00407-5610300120054.bu,162,97,6,11,UE2013
o00407-5699500590194.bu,o00407-5699500590194.bu,169,117,6,6,UE2010
o00407-5693600370003.bu,o00407-5693600370003.bu,125,108,3,9,UE2013
o00407-5611100200155.bu,o00407-5611100200155.bu,137,79,1,7,UE2010
o00407-5605700120016.bu,o00407-5605700120016.bu,138,59,4,14,UE2013
o00407-5623500020390.bu,o00407-5623500020390.bu,187,80,4,6,UE2020
o00407-5703700550356.bu,o00407-5703700550356.bu,137,73,2,7,UE2020
o00407-5625100340403.bu,o00407-5625100340403.bu,188,121,5,8,UE2009
o00407-5620000380125.bu,o00407-5620000380125.bu,45,53,0,2,UE2015
o00407-5703700570285.bu,o00407-5703700570285.bu,176,98,3,14,UE2020
o00407-5699500260440.bu,o00407-5699500260440.bu,126,158,4,8,UE2009
o00407-5699500530030.bu,o00407-5699500530030.bu,138,138,9,9,UE2009
o00407-5627800030097.bu,o00407-5627800030097.bu,97,50,2,7,UE2020
o00407-5703700550179.bu,o00407-5703700550179.bu,159,88,4,8,UE2020
o00407-5637500150047.bu,o00407-5637500150047.bu,214,96,6,10,UE2015
o00407-5614600100090.bu,o00407-5614600100090.bu,117,74,3,9,UE2013
o00407-5697900211009.bu,o00407-5697900211009.bu,101,137,1,4,UE2009
o00407-5677400300016.bu,o00407-5677400300016.bu,93,89,4,1,UE2010
o00407-5673100190042.bu,o00407-5673100190042.bu,119,91,5,10,UE2015
o00407-5625100340274.bu,o00407-5625100340274.bu,173,135,7,11,UE2009
o00407-5715000270127.bu,o00407-5715000270127.bu,86,68,3,1,UE2010
o00407-5631600270017.bu,o00407-5631600270017.bu,96,157,4,10,UE2010
o00407-5705300010953.bu,o00407-5705300010953.bu,202,115,4,11,UE2020
o00407-5625100540354.bu,o00407-5625100540354.bu,153,133,6,12,UE2010
o00407-5625100340117.bu,o00407-5625100340117.bu,156,116,3,3,UE2009
o00407-5703700320386.bu,o00407-5703700320386.bu,170,70,6,9,UE2020
o00407-5629400060555.bu,o00407-5629400060555.bu,182,82,3,14,UE2015
o00407-5703700550534.bu,o00407-5703700550534.bu,202,108,8,3,UE2020
o00407-5705300520606.bu,o00407-5705300520606.bu,169,131,7,8,UE2020
o00407-5625100341037.bu,o00407-5625100341037.bu,173,102,0,6,UE2009
o00407-5647200240140.bu,o00407-5647200240140.bu,131,70,4,9,UE2011
o00407-5693600370106.bu,o00407-5693600370106.bu,70,116,0,6,UE2013
o00407-5699500530961.bu,o00407-5699500530961.bu,169,150,4,4,UE2009
o00407-5703700320526.bu,o00407-5703700320526.bu,118,97,1,8,UE2020
o00407-5703700320597.bu,o00407-5703700320597.bu,189,99,2,5,UE2020
o00407-5663400250254.bu,o00407-5663400250254.bu,221,96,7,6,UE2009
o00407-5625100340921.bu,o00407-5625100340921.bu,128,87,4,10,UE2009
o00407-5705300010959.bu,o00407-5705300010959.bu,91,99,4,9,UE2020
o00407-5669300380004.bu,o00407-5669300380004.bu,99,111,0,7,UE2015
o00407-5663400250512.bu,o00407-5663400250512.bu,167,80,5,17,UE2009
o00407-5623500480328.bu,o00407-5623500480328.bu,212,56,5,5,UE2020
o00407-5627800030020.bu,o00407-5627800030020.bu,148,44,4,6,UE2020
o00407-5703700320201.bu,o00407-5703700320201.bu,128,101,4,10,UE2020
o00407-5673100190002.bu,o00407-5673100190002.bu,118,107,4,12,UE2015
o00407-5614600100086.bu,o00407-5614600100086.bu,148,62,5,14,UE2013
o00407-5622700370118.bu,o00407-5622700370118.bu,105,150,3,5,UE2013
