boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-9373400020087.bu,o00407-9373400020087.bu,210,88,1,8,UE2020
o00407-9302500420029.bu,o00407-9302500420029.bu,148,104,5,5,UE2020
o00407-9373401460163.bu,o00407-9373401460163.bu,198,114,2,11,UE2020
o00407-9395500130094.bu,o00407-9395500130094.bu,118,111,2,6,UE2015
o00407-9399800530127.bu,o00407-9399800530127.bu,136,91,2,4,UE2013
o00407-9445500190481.bu,o00407-9445500190481.bu,171,141,4,5,UE2010
o00407-9227401320615.bu,o00407-9227401320615.bu,116,125,7,4,UE2020
o00407-9601600940041.bu,o00407-9601600940041.bu,174,73,2,4,UE2015
o00407-9332700040062.bu,o00407-9332700040062.bu,137,133,4,3,UE2020
o00407-9226600460093.bu,o00407-9226600460093.bu,111,160,3,9,UE2010
o00407-9244400550100.bu,o00407-9244400550100.bu,123,100,3,6,UE2015
o00407-9325400360088.bu,o00407-9325400360088.bu,149,60,6,4,UE2010
o00407-9617200570091.bu,o00407-9617200570091.bu,131,115,0,4,UE2013
o00407-9373400020337.bu,o00407-9373400020337.bu,158,69,3,6,UE2020
o00407-9571000300393.bu,o00407-9571000300393.bu,128,147,2,9,UE2009
o00407-9270300400073.bu,o00407-9270300400073.bu,143,125,6,6,UE2020
o00407-9657100450051.bu,o00407-9657100450051.bu,132,119,0,5,UE2010
o00407-9288600260125.bu,o00407-9288600260125.bu,127,86,3,6,UE2015
o00407-9375001010098.bu,o00407-9375001010098.bu,145,107,2,5,UE2009
o00407-9373401350344.bu,o00407-9373401350344.bu,174,109,1,11,UE2020
o00407-9277000050046.bu,o00407-9277000050046.bu,85,86,2,4,UE2010
o00407-9227401450310.bu,o00407-9227401450310.bu,179,121,4,7,UE2020
o00407-9275400950056.bu,o00407-9275400950056.bu,97,79,1,0,UE2013
o00407-9373400020546.bu,o00407-9373400020546.bu,153,93,4,7,UE2020
o00407-9361000110171.bu,o00407-9361000110171.bu,184,81,3,1,UE2010
o00407-9361000110054.bu,o00407-9361000110054.bu,91,126,5,4,UE2010
o00407-9297501050045.bu,o00407-9297501050045.bu,75,177,4,3,UE2015
o00407-9479000880067.bu,o00407-9479000880067.bu,106,74,3,2,UE2015
o00407-9675000060037.bu,o00407-9675000060037.bu,105,84,2,3,UE2013
o00407-9261400350027.bu,o00407-9261400350027.bu,43,54,1,7,UE2013
o00407-9581800660040.bu,o00407-9581800660040.bu,101,125,0,6,UE2009
o00407-9227401190160.bu,o00407-9227401190160.bu,140,154,4,5,UE2020
o00407-9221501440007.bu,o00407-9221501440007.bu,221,62,5,8,UE2020
o00407-9332700040074.bu,o00407-9332700040074.bu,74,106,6,8,UE2020
o00407-9431500170015.bu,o00407-9431500170015.bu,205,102,4,3,UE2015
o00407-9677600240142.bu,o00407-9677600240142.bu,141,86,10,2,UE2020
o00407-9300901060081.bu,o00407-9300901060081.bu,128,128,3,8,UE2010
o00407-9227401450099.bu,o00407-9227401450099.bu,141,61,4,4,UE2020
o00407-9227401320241.bu,o00407-9227401320241.bu,160,101,3,6,UE2020
o00407-9541901020013.bu,o00407-9541901020013.bu,109,50,1,5,UE2013
