boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-4123800320075.bu,o00407-4123800320075.bu,162,163,2,9,UE2020
o00407-4417201000049.bu,o00407-4417201000049.bu,89,130,4,6,UE2011
o00407-4701501470040.bu,o00407-4701501470040.bu,78,62,1,8,UE2010
o00407-4086000710265.bu,o00407-4086000710265.bu,152,113,0,5,UE2009
o00407-4239002960046.bu,o00407-4239002960046.bu,218,56,1,0,UE2020
o00407-5155103120126.bu,o00407-5155103120126.bu,153,122,6,9,UE2020
o00407-4079700170105.bu,o00407-4079700170105.bu,151,129,4,10,UE2009
o00407-4375300940016.bu,o00407-4375300940016.bu,54,105,3,5,UE2013
o00407-5277901250067.bu,o00407-5277901250067.bu,118,112,3,5,UE2010
o00407-5403802780540.bu,o00407-5403802780540.bu,147,79,1,8,UE2015
o00407-4865801840377.bu,o00407-4865801840377.bu,120,137,2,7,UE2015
o00407-4517901130037.bu,o00407-4517901130037.bu,34,127,1,3,UE2013
o00407-5049002270234.bu,o00407-5049002270234.bu,191,91,4,6,UE2009
o00407-5153503400081.bu,o00407-5153503400081.bu,176,129,1,7,UE2010
o00407-4179300520020.bu,o00407-4179300520020.bu,108,88,5,15,UE2020
o00407-4123803340128.bu,o00407-4123803340128.bu,235,169,5,9,UE2020
o00407-4813501720006.bu,o00407-4813501720006.bu,152,126,5,13,UE2020
o00407-4371003130174.bu,o00407-4371003130174.bu,191,110,1,7,UE2020
o00407-4633701320048.bu,o00407-4633701320048.bu,150,133,5,12,UE2020
o00407-4123800270028.bu,o00407-4123800270028.bu,156,114,5,12,UE2020
o00407-5403803350240.bu,o00407-5403803350240.bu,161,132,5,6,UE2015
o00407-4371000930148.bu,o00407-4371000930148.bu,151,134,5,15,UE2020
o00407-4089403200028.bu,o00407-4089403200028.bu,46,129,4,4,UE2010
o00407-4271402530003.bu,o00407-4271402530003.bu,142,146,1,7,UE2011
o00407-4595002880308.bu,o00407-4595002880308.bu,147,166,3,9,UE2020
o00407-4799601710044.bu,o00407-4799601710044.bu,76,214,2,12,UE2020
o00407-5403802790626.bu,o00407-5403802790626.bu,113,135,4,7,UE2015
o00407-4293501640001.bu,o00407-4293501640001.bu,117,107,3,4,UE2010
o00407-4171800500107.bu,o00407-4171800500107.bu,102,161,9,10,UE2010
o00407-4111400230281.bu,o00407-4111400230281.bu,148,119,1,7,UE2020
o00407-4885201900121.bu,o00407-4885201900121.bu,88,82,0,3,UE2010
o00407-5321001210098.bu,o00407-5321001210098.bu,91,130,3,8,UE2010
o00407-4123800390567.bu,o00407-4123800390567.bu,145,226,3,5,UE2020
o00407-4515202670018.bu,o00407-4515202670018.bu,62,84,0,5,UE2011
o00407-5407002800265.bu,o00407-5407002800265.bu,129,143,2,3,UE2009
o00407-4133503190351.bu,o00407-4133503190351.bu,112,67,5,4,UE2020
o00407-4521701140130.bu,o00407-4521701140130.bu,127,72,3,5,UE2009
o00407-4785601660013.bu,o00407-4785601660013.bu,55,86,2,2,UE2010
o00407-4935200040067.bu,o00407-4935200040067.bu,33,156,4,4,UE2013
o00407-5369402680010.bu,o00407-5369402680010.bu,74,115,3,5,UE2015
o00407-4123800340355.bu,o00407-4123800340355.bu,194,132,11,9,UE2020
o00407-5401103470318.bu,o00407-5401103470318.bu,109,127,1,8,UE2015
o00407-5155103120057.bu,o00407-5155103120057.bu,164,154,4,9,UE2020
o00407-4559401210092.bu,o00407-4559401210092.bu,48,117,1,2,UE2010
o00407-4701501470063.bu,o00407-4701501470063.bu,43,110,1,4,UE2010
o00407-4505500690116.bu,o00407-4505500690116.bu,60,89,1,2,UE2011
o00407-4231500650044.bu,o00407-4231500650044.bu,193,102,4,6,UE2010
o00407-4123800300265.bu,o00407-4123800300265.bu,171,172,3,14,UE2020
o00407-5197700460116.bu,o00407-5197700460116.bu,92,109,2,3,UE2011
o00407-4155600720039.bu,o00407-4155600720039.bu,102,141,3,5,UE2009
o00407-4004501510179.bu,o00407-4004501510179.bu,46,46,1,0,UE2010
o00407-4367200890103.bu,o00407-4367200890103.bu,125,94,0,4,UE2009
o00407-4763501600090.bu,o00407-4763501600090.bu,161,128,1,9,UE2009
o00407-4133503190363.bu,o00407-4133503190363.bu,117,49,5,7,UE2020
o00407-4877101870178.bu,o00407-4877101870178.bu,41,49,1,6,UE2010
o00407-4123800280217.bu,o00407-4123800280217.bu,188,145,5,8,UE2020
o00407-4287000770063.bu,o00407-4287000770063.bu,194,81,2,5,UE2010
o00407-4733301530349.bu,o00407-4733301530349.bu,122,164,4,19,UE2015
o00407-4865801840275.bu,o00407-4865801840275.bu,180,167,8,13,UE2015
o00407-4675201400075.bu,o00407-4675201400075.bu,182,78,3,1,UE2020
o00407-4969702700073.bu,o00407-4969702700073.bu,92,134,4,8,UE2009
o00407-4123800360370.bu,o00407-4123800360370.bu,192,127,3,9,UE2020
o00407-4097500800076.bu,o00407-4097500800076.bu,89,22,4,3,UE2010
o00407-4637001330030.bu,o00407-4637001330030.bu,104,160,6,12,UE2020
o00407-4733303490092.bu,o00407-4733303490092.bu,81,156,4,4,UE2015
o00407-4553501190156.bu,o00407-4553501190156.bu,79,140,4,7,UE2015
o00407-4167000550081.bu,o00407-4167000550081.bu,139,121,2,11,UE2010
o00407-4371003130097.bu,o00407-4371003130097.bu,127,101,4,7,UE2020
o00407-4727900540038.bu,o00407-4727900540038.bu,76,74,2,6,UE2011
o00407-4305200790207.bu,o00407-4305200790207.bu,77,184,2,9,UE2010
o00407-4733301520627.bu,o00407-4733301520627.bu,113,136,4,12,UE2015
o00407-4005300020141.bu,o00407-4005300020141.bu,64,151,2,7,UE2011
o00407-5023702180060.bu,o00407-5023702180060.bu,137,117,3,9,UE2010
o00407-4957302090132.bu,o00407-4957302090132.bu,169,96,4,13,UE2009
o00407-5399600500196.bu,o00407-5399600500196.bu,74,148,3,5,UE2010
o00407-4725201510178.bu,o00407-4725201510178.bu,103,114,1,3,UE2010
o00407-4034702300072.bu,o00407-4034702300072.bu,123,169,1,9,UE2013
o00407-4157200590112.bu,o00407-4157200590112.bu,131,122,8,11,UE2009
o00407-5043102260028.bu,o00407-5043102260028.bu,65,83,1,8,UE2010
o00407-4553503180002.bu,o00407-4553503180002.bu,132,113,1,3,UE2015
o00407-5403802790651.bu,o00407-5403802790651.bu,87,133,2,7,UE2015
o00407-4647701340232.bu,o00407-4647701340232.bu,185,71,6,5,UE2010
o00407-4595003510117.bu,o00407-4595003510117.bu,74,80,2,10,UE2020
o00407-4080002880402.bu,o00407-4080002880402.bu,120,118,6,16,UE2020
o00407-4877101870048.bu,o00407-4877101870048.bu,136,69,1,6,UE2010
o00407-5159401130068.bu,o00407-5159401130068.bu,105,152,2,18,UE2013
o00407-5091103210140.bu,o00407-5091103210140.bu,147,175,4,11,UE2020
o00407-5091103210084.bu,o00407-5091103210084.bu,137,98,5,7,UE2020
o00407-4493801040076.bu,o00407-4493801040076.bu,117,95,4,1,UE2013
o00407-4218800440063.bu,o00407-4218800440063.bu,41,223,2,5,UE2010
o00407-4445801030197.bu,o00407-4445801030197.bu,83,149,2,4,UE2020
