boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-9051400360398.bu,o00407-9051400360398.bu,132,75,6,2,UE2020
o00407-9184700010200.bu,o00407-9184700010200.bu,5,285,1,35,UE2010
o00407-9051400540073.bu,o00407-9051400540073.bu,119,131,0,7,UE2020
o00407-9123500050129.bu,o00407-9123500050129.bu,81,100,2,6,UE2009
o00407-9113800020157.bu,o00407-9113800020157.bu,184,49,0,3,UE2009
o00407-9051400350409.bu,o00407-9051400350409.bu,123,51,2,4,UE2020
o00407-9123500050050.bu,o00407-9123500050050.bu,168,51,1,5,UE2009
o00407-9049200140006.bu,o00407-9049200140006.bu,146,67,2,2,UE2015
o00407-9041700170036.bu,o00407-9041700170036.bu,136,85,1,2,UE2010
o00407-9051400440086.bu,o00407-9051400440086.bu,142,93,3,11,UE2020
o00407-9051400440280.bu,o00407-9051400440280.bu,148,68,1,3,UE2020
o00407-9051400080444.bu,o00407-9051400080444.bu,148,58,2,7,UE2020
o00407-9051400440064.bu,o00407-9051400440064.bu,128,53,4,9,UE2020
o00407-9073500430030.bu,o00407-9073500430030.bu,118,50,0,5,UE2020
o00407-9131600520025.bu,o00407-9131600520025.bu,151,90,1,9,UE2013
o00407-9051400540235.bu,o00407-9051400540235.bu,192,75,5,9,UE2020
o00407-9159600540267.bu,o00407-9159600540267.bu,50,102,1,8,UE2020
o00407-9051400080462.bu,o00407-9051400080462.bu,147,83,3,6,UE2020
o00407-9815900330176.bu,o00407-9815900330176.bu,96,115,1,11,UE2009
o00407-9165000510033.bu,o00407-9165000510033.bu,162,87,1,9,UE2015
o00407-9179000330028.bu,o00407-9179000330028.bu,169,58,3,5,UE2009
o00407-9055700280028.bu,o00407-9055700280028.bu,157,42,5,8,UE2010
o00407-9051400080230.bu,o00407-9051400080230.bu,117,108,3,8,UE2020
o00407-9099900220095.bu,o00407-9099900220095.bu,77,75,1,6,UE2009
o00407-9051400360126.bu,o00407-9051400360126.bu,162,88,2,7,UE2020
o00407-9065400120073.bu,o00407-9065400120073.bu,114,69,2,2,UE2010
o00407-9131600520082.bu,o00407-9131600520082.bu,129,70,3,2,UE2013
o00407-9125100130017.bu,o00407-9125100130017.bu,158,87,4,8,UE2010
o00407-9051400440133.bu,o00407-9051400440133.bu,170,96,4,10,UE2020
o00407-9807800250197.bu,o00407-9807800250197.bu,89,127,3,8,UE2009
o00407-9073500180357.bu,o00407-9073500180357.bu,137,63,6,5,UE2020
o00407-9073500180187.bu,o00407-9073500180187.bu,129,96,8,13,UE2020
o00407-9171500190168.bu,o00407-9171500190168.bu,93,32,0,3,UE2013
o00407-9011500010195.bu,o00407-9011500010195.bu,135,66,0,9,UE2010
o00407-9021200100063.bu,o00407-9021200100063.bu,114,63,2,6,UE2010
o00407-9165000510009.bu,o00407-9165000510009.bu,127,90,1,4,UE2015
o00407-9085900250094.bu,o00407-9085900250094.bu,110,88,1,7,UE2009
o00407-9051400360012.bu,o00407-9051400360012.bu,182,81,5,5,UE2020
o00407-9073500430064.bu,o00407-9073500430064.bu,160,109,3,19,UE2020
o00407-9813200330163.bu,o00407-9813200330163.bu,179,60,2,12,UE2009
o00407-9165000090027.bu,o00407-9165000090027.bu,118,42,0,6,UE2015
o00407-9051400540108.bu,o00407-9051400540108.bu,129,46,1,4,UE2020
o00407-9003400230073.bu,o00407-9003400230073.bu,91,94,3,12,UE2013
o00407-9165000510136.bu,o00407-9165000510136.bu,141,89,1,8,UE2015
o00407-9063800500063.bu,o00407-9063800500063.bu,103,123,0,8,UE2015
o00407-9157000310009.bu,o00407-9157000310009.bu,179,70,2,9,UE2020
o00407-9063800070014.bu,o00407-9063800070014.bu,105,90,5,5,UE2015
o00407-9021200100111.bu,o00407-9021200100111.bu,119,90,1,5,UE2010
o00407-9803500380038.bu,o00407-9803500380038.bu,141,70,1,1,UE2010
o00407-9057300030002.bu,o00407-9057300030002.bu,156,54,3,7,UE2010
o00407-9178200480033.bu,o00407-9178200480033.bu,151,71,3,6,UE2009
o00407-9051400440105.bu,o00407-9051400440105.bu,163,81,1,11,UE2020
o00407-9141300320090.bu,o00407-9141300320090.bu,64,50,3,1,UE2015
o00407-9051400440300.bu,o00407-9051400440300.bu,131,82,3,7,UE2020
o00407-9051400360337.bu,o00407-9051400360337.bu,194,61,7,6,UE2020
o00407-9171500190237.bu,o00407-9171500190237.bu,144,107,1,8,UE2013
o00407-9803500380024.bu,o00407-9803500380024.bu,192,65,2,8,UE2010
o00407-9051400350463.bu,o00407-9051400350463.bu,119,63,2,7,UE2020
o00407-9051400440066.bu,o00407-9051400440066.bu,126,61,5,4,UE2020
o00407-9051400440069.bu,o00407-9051400440069.bu,124,54,1,9,UE2020
o00407-9065400120110.bu,o00407-9065400120110.bu,117,100,1,6,UE2010
o00407-9021200100060.bu,o00407-9021200100060.bu,185,86,1,1,UE2010
o00407-9051400350607.bu,o00407-9051400350607.bu,153,74,6,13,UE2020
o00407-9131600520190.bu,o00407-9131600520190.bu,89,126,4,11,UE2013
o00407-9143000110012.bu,o00407-9143000110012.bu,140,77,4,7,UE2010
o00407-9057300030020.bu,o00407-9057300030020.bu,145,52,1,9,UE2010
o00407-9065400120039.bu,o00407-9065400120039.bu,90,110,3,4,UE2010
o00407-9073500180268.bu,o00407-9073500180268.bu,145,97,2,5,UE2020
o00407-5502600430387.bu,o00407-5502600430387.bu,123,86,1,5,UE2020
o00407-9145600400086.bu,o00407-9145600400086.bu,84,67,3,7,UE2011
o00407-9051400530110.bu,o00407-9051400530110.bu,155,100,6,11,UE2020
o00407-9123500050109.bu,o00407-9123500050109.bu,138,92,5,6,UE2009
o00407-9125100130045.bu,o00407-9125100130045.bu,119,76,4,5,UE2010
o00407-9051400350123.bu,o00407-9051400350123.bu,160,84,3,9,UE2020
o00407-9051400440081.bu,o00407-9051400440081.bu,80,71,3,6,UE2020
o00407-9051400080477.bu,o00407-9051400080477.bu,146,100,2,13,UE2020
o00407-9051400360114.bu,o00407-9051400360114.bu,182,47,2,5,UE2020
o00407-9049200140025.bu,o00407-9049200140025.bu,72,120,4,7,UE2015
o00407-9125100130084.bu,o00407-9125100130084.bu,112,86,3,6,UE2010
o00407-9051400360165.bu,o00407-9051400360165.bu,132,80,5,10,UE2020
o00407-9113800020079.bu,o00407-9113800020079.bu,126,78,3,5,UE2009
o00407-9051400440306.bu,o00407-9051400440306.bu,151,116,5,9,UE2020
o00407-9157000310063.bu,o00407-9157000310063.bu,119,97,3,4,UE2020
o00407-9079400390045.bu,o00407-9079400390045.bu,46,87,0,7,UE2011
o00407-9131600520198.bu,o00407-9131600520198.bu,146,61,5,4,UE2013
o00407-9089100430329.bu,o00407-9089100430329.bu,152,60,0,6,UE2020
o00407-9063800500069.bu,o00407-9063800500069.bu,80,74,3,7,UE2015
o00407-9039500050004.bu,o00407-9039500050004.bu,81,91,0,10,UE2009
o00407-9073500430347.bu,o00407-9073500430347.bu,35,171,1,8,UE2020
o00407-9011500010106.bu,o00407-9011500010106.bu,143,74,5,6,UE2010
o00407-9051400440307.bu,o00407-9051400440307.bu,179,84,9,3,UE2020
o00407-9809400400016.bu,o00407-9809400400016.bu,173,86,1,8,UE2011
o00407-9063800070299.bu,o00407-9063800070299.bu,88,113,3,7,UE2015
o00407-9051400530119.bu,o00407-9051400530119.bu,142,111,4,11,UE2020
o00407-9051400540204.bu,o00407-9051400540204.bu,156,91,4,11,UE2020
o00407-9125100130099.bu,o00407-9125100130099.bu,148,91,3,5,UE2010
o00407-9063800500053.bu,o00407-9063800500053.bu,103,97,4,7,UE2015
o00407-9051400530228.bu,o00407-9051400530228.bu,120,126,8,14,UE2020
o00407-9107300160046.bu,o00407-9107300160046.bu,127,91,2,7,UE2010
o00407-9073500430407.bu,o00407-9073500430407.bu,152,82,3,8,UE2020
o00407-9073500430044.bu,o00407-9073500430044.bu,196,73,6,4,UE2020
o00407-9065400120079.bu,o00407-9065400120079.bu,134,46,1,3,UE2010
o00407-9051400360131.bu,o00407-9051400360131.bu,151,62,4,15,UE2020
o00407-9073500430087.bu,o00407-9073500430087.bu,152,66,4,9,UE2020
o00407-9051400350170.bu,o00407-9051400350170.bu,132,95,3,6,UE2020
o00407-9190100040064.bu,o00407-9190100040064.bu,61,155,2,3,UE2020
o00407-9051400080106.bu,o00407-9051400080106.bu,165,85,9,3,UE2020
o00407-9051400360070.bu,o00407-9051400360070.bu,164,60,1,7,UE2020
o00407-9157000310078.bu,o00407-9157000310078.bu,145,75,2,12,UE2020
o00407-9041700170060.bu,o00407-9041700170060.bu,112,119,4,9,UE2010
o00407-9051400080221.bu,o00407-9051400080221.bu,118,81,2,4,UE2020
o00407-9137500200029.bu,o00407-9137500200029.bu,99,89,1,6,UE2009
o00407-9051400360066.bu,o00407-9051400360066.bu,131,60,5,4,UE2020
o00407-9081600220071.bu,o00407-9081600220071.bu,102,114,4,12,UE2009
o00407-9087500230080.bu,o00407-9087500230080.bu,123,87,2,5,UE2013
o00407-9131600190118.bu,o00407-9131600190118.bu,146,83,1,6,UE2013
o00407-9051400080229.bu,o00407-9051400080229.bu,120,106,5,7,UE2020
o00407-9051400360197.bu,o00407-9051400360197.bu,188,55,5,3,UE2020
o00407-9021200100103.bu,o00407-9021200100103.bu,70,66,2,3,UE2010
o00407-9087500230085.bu,o00407-9087500230085.bu,99,94,2,12,UE2013
o00407-9051400080105.bu,o00407-9051400080105.bu,183,67,6,10,UE2020
o00407-9180400490065.bu,o00407-9180400490065.bu,17,231,2,7,UE2010
o00407-9051400360369.bu,o00407-9051400360369.bu,194,64,3,4,UE2020
o00407-9165000090196.bu,o00407-9165000090196.bu,151,115,3,8,UE2015
o00407-9097200340032.bu,o00407-9097200340032.bu,112,116,2,5,UE2015
o00407-9051400360188.bu,o00407-9051400360188.bu,161,86,3,12,UE2020
o00407-9063800070144.bu,o00407-9063800070144.bu,67,89,2,5,UE2015
o00407-9037900060023.bu,o00407-9037900060023.bu,98,103,3,13,UE2015
o00407-9063800070141.bu,o00407-9063800070141.bu,56,63,0,11,UE2015
o00407-9113800020181.bu,o00407-9113800020181.bu,145,68,1,6,UE2009
o00407-9051400530190.bu,o00407-9051400530190.bu,167,104,4,6,UE2020
o00407-9039500050017.bu,o00407-9039500050017.bu,115,83,4,4,UE2009
o00407-9063800500037.bu,o00407-9063800500037.bu,101,105,5,2,UE2015
o00407-9075100040006.bu,o00407-9075100040006.bu,116,103,4,12,UE2020
o00407-9051400440375.bu,o00407-9051400440375.bu,158,83,1,12,UE2020
o00407-9147200210060.bu,o00407-9147200210060.bu,122,71,1,5,UE2010
o00407-9053000170090.bu,o00407-9053000170090.bu,79,51,2,0,UE2010
o00407-9171500190156.bu,o00407-9171500190156.bu,144,104,2,6,UE2013
o00407-9051400540182.bu,o00407-9051400540182.bu,134,103,3,9,UE2020
o00407-9041700170032.bu,o00407-9041700170032.bu,120,56,1,3,UE2010
o00407-9801900150059.bu,o00407-9801900150059.bu,65,73,0,15,UE2010
o00407-9143000110019.bu,o00407-9143000110019.bu,132,101,2,8,UE2010
o00407-9803500380069.bu,o00407-9803500380069.bu,154,81,3,6,UE2010
o00407-9019000240053.bu,o00407-9019000240053.bu,101,66,6,10,UE2010
o00407-9179000330018.bu,o00407-9179000330018.bu,135,67,0,6,UE2009
o00407-9051400540271.bu,o00407-9051400540271.bu,174,102,5,7,UE2020
o00407-9073500430253.bu,o00407-9073500430253.bu,210,64,0,11,UE2020
o00407-9165000090036.bu,o00407-9165000090036.bu,136,70,0,9,UE2015
o00407-9073500430223.bu,o00407-9073500430223.bu,156,93,7,12,UE2020
o00407-9157000310010.bu,o00407-9157000310010.bu,187,70,3,6,UE2020
o00407-9807800250129.bu,o00407-9807800250129.bu,63,97,2,12,UE2009
o00407-5500000110107.bu,o00407-5500000110107.bu,104,68,1,8,UE2010
o00407-9051400080502.bu,o00407-9051400080502.bu,182,77,5,10,UE2020
o00407-9051400360260.bu,o00407-9051400360260.bu,162,75,3,5,UE2020
o00407-9019000240028.bu,o00407-9019000240028.bu,142,92,2,8,UE2010
o00407-9811600090167.bu,o00407-9811600090167.bu,86,113,3,6,UE2015
o00407-9051400440373.bu,o00407-9051400440373.bu,130,93,6,6,UE2020
o00407-9111100150092.bu,o00407-9111100150092.bu,13,196,1,9,UE2010
o00407-9165000090064.bu,o00407-9165000090064.bu,102,38,4,4,UE2015
o00407-9073500180246.bu,o00407-9073500180246.bu,187,103,2,6,UE2020
o00407-9165000090246.bu,o00407-9165000090246.bu,90,48,2,1,UE2015
o00407-9859000190267.bu,o00407-9859000190267.bu,119,62,1,6,UE2013
o00407-9051400360276.bu,o00407-9051400360276.bu,179,80,5,2,UE2020
o00407-9043300300007.bu,o00407-9043300300007.bu,143,78,3,9,UE2015
o00407-9807800250134.bu,o00407-9807800250134.bu,82,90,1,8,UE2009
o00407-9073500180361.bu,o00407-9073500180361.bu,122,123,3,8,UE2020
o00407-9131600520171.bu,o00407-9131600520171.bu,117,93,5,11,UE2013
o00407-9051400080072.bu,o00407-9051400080072.bu,150,86,3,12,UE2020
o00407-9131600520199.bu,o00407-9131600520199.bu,113,92,2,8,UE2013
o00407-9051400360111.bu,o00407-9051400360111.bu,179,53,3,1,UE2020
o00407-9073500180285.bu,o00407-9073500180285.bu,116,104,6,5,UE2020
o00407-9157000310072.bu,o00407-9157000310072.bu,50,71,1,3,UE2020
o00407-9131600520119.bu,o00407-9131600520119.bu,121,59,4,5,UE2013
o00407-9063800500040.bu,o00407-9063800500040.bu,71,73,4,2,UE2015
o00407-9073500430373.bu,o00407-9073500430373.bu,208,68,5,2,UE2020
o00407-9051400080100.bu,o00407-9051400080100.bu,166,74,4,8,UE2020
o00407-9051400080436.bu,o00407-9051400080436.bu,154,92,6,7,UE2020
o00407-9063800070263.bu,o00407-9063800070263.bu,120,109,3,4,UE2015
o00407-9809400400034.bu,o00407-9809400400034.bu,128,110,2,10,UE2011
o00407-9065400120052.bu,o00407-9065400120052.bu,70,58,0,2,UE2010
o00407-9051400360348.bu,o00407-9051400360348.bu,196,58,3,6,UE2020
o00407-9125100130053.bu,o00407-9125100130053.bu,128,85,7,9,UE2010
o00407-9043300300026.bu,o00407-9043300300026.bu,108,101,0,7,UE2015
o00407-9143000110066.bu,o00407-9143000110066.bu,133,98,4,10,UE2010
o00407-9147200210058.bu,o00407-9147200210058.bu,76,95,1,1,UE2010
o00407-9063800500135.bu,o00407-9063800500135.bu,123,84,3,4,UE2015
o00407-9165000090033.bu,o00407-9165000090033.bu,156,63,1,7,UE2015
o00407-9051400350159.bu,o00407-9051400350159.bu,106,93,1,16,UE2020
o00407-9061100400070.bu,o00407-9061100400070.bu,66,62,0,6,UE2011
o00407-9051400080093.bu,o00407-9051400080093.bu,152,107,6,11,UE2020
o00407-9143000110015.bu,o00407-9143000110015.bu,125,54,1,5,UE2010
o00407-9131600520074.bu,o00407-9131600520074.bu,163,93,4,9,UE2013
o00407-9051400080529.bu,o00407-9051400080529.bu,118,112,4,8,UE2020
o00407-9051400530122.bu,o00407-9051400530122.bu,148,118,2,6,UE2020
o00407-9107300160024.bu,o00407-9107300160024.bu,146,61,3,7,UE2010
o00407-9055700280094.bu,o00407-9055700280094.bu,115,51,0,1,UE2010
o00407-9093000270044.bu,o00407-9093000270044.bu,83,115,2,11,UE2010
o00407-9157000310108.bu,o00407-9157000310108.bu,85,151,0,10,UE2020
o00407-9803500380110.bu,o00407-9803500380110.bu,129,81,5,5,UE2010
o00407-9065400120108.bu,o00407-9065400120108.bu,99,142,4,10,UE2010
o00407-9113800020089.bu,o00407-9113800020089.bu,128,69,3,5,UE2009
o00407-9178200480026.bu,o00407-9178200480026.bu,176,40,1,4,UE2009
o00407-9113800020035.bu,o00407-9113800020035.bu,109,88,4,1,UE2009
o00407-9051400360025.bu,o00407-9051400360025.bu,137,31,0,0,UE2020
o00407-9051400530442.bu,o00407-9051400530442.bu,102,114,5,8,UE2020
o00407-9149900340075.bu,o00407-9149900340075.bu,85,93,3,7,UE2015
o00407-9051400080558.bu,o00407-9051400080558.bu,189,93,3,5,UE2020
o00407-9051400440380.bu,o00407-9051400440380.bu,140,89,8,10,UE2020
o00407-9051400350501.bu,o00407-9051400350501.bu,121,103,3,9,UE2020
o00407-9019000240046.bu,o00407-9019000240046.bu,154,74,3,6,UE2010
o00407-9051400080383.bu,o00407-9051400080383.bu,151,53,2,7,UE2020
o00407-9051400540054.bu,o00407-9051400540054.bu,131,65,3,4,UE2020
o00407-9113800020172.bu,o00407-9113800020172.bu,116,82,4,12,UE2009
o00407-9011500010141.bu,o00407-9011500010141.bu,15,215,0,19,UE2010
o00407-9051400440288.bu,o00407-9051400440288.bu,150,122,3,7,UE2020
o00407-9051400530447.bu,o00407-9051400530447.bu,154,95,0,5,UE2020
o00407-9073500180248.bu,o00407-9073500180248.bu,140,76,6,12,UE2020
o00407-9051400360342.bu,o00407-9051400360342.bu,151,73,3,6,UE2020
o00407-9051400080170.bu,o00407-9051400080170.bu,127,106,2,6,UE2020
o00407-9051400080434.bu,o00407-9051400080434.bu,165,79,1,3,UE2020
o00407-9085900250096.bu,o00407-9085900250096.bu,121,94,3,7,UE2009
o00407-5503400330069.bu,o00407-5503400330069.bu,81,98,2,11,UE2009
o00407-9051400440393.bu,o00407-9051400440393.bu,156,89,6,12,UE2020
o00407-9147200210042.bu,o00407-9147200210042.bu,98,89,1,13,UE2010
o00407-9188000260047.bu,o00407-9188000260047.bu,146,77,2,8,UE2010
o00407-9063800500080.bu,o00407-9063800500080.bu,125,107,1,3,UE2015
o00407-9131600520159.bu,o00407-9131600520159.bu,151,68,2,8,UE2013
o00407-9051400540178.bu,o00407-9051400540178.bu,128,61,5,8,UE2020
o00407-9051400350638.bu,o00407-9051400350638.bu,117,71,5,4,UE2020
o00407-9063800070289.bu,o00407-9063800070289.bu,94,109,5,5,UE2015
o00407-9127800260086.bu,o00407-9127800260086.bu,105,108,0,7,UE2010
o00407-9051400080377.bu,o00407-9051400080377.bu,189,90,7,9,UE2020
o00407-9123500050164.bu,o00407-9123500050164.bu,174,87,8,7,UE2009
o00407-9131600190191.bu,o00407-9131600190191.bu,94,81,3,8,UE2013
o00407-9147200210028.bu,o00407-9147200210028.bu,102,58,3,4,UE2010
o00407-9131600520078.bu,o00407-9131600520078.bu,163,91,3,10,UE2013
o00407-9073500430420.bu,o00407-9073500430420.bu,174,68,2,2,UE2020
o00407-9184700010183.bu,o00407-9184700010183.bu,86,123,1,14,UE2010
o00407-9051400350380.bu,o00407-9051400350380.bu,115,132,2,16,UE2020
o00407-9190100040065.bu,o00407-9190100040065.bu,72,135,2,8,UE2020
o00407-9051400080611.bu,o00407-9051400080611.bu,170,100,0,6,UE2020
o00407-9057300030069.bu,o00407-9057300030069.bu,133,51,4,7,UE2010
o00407-9051400360214.bu,o00407-9051400360214.bu,150,65,3,4,UE2020
o00407-9190100040045.bu,o00407-9190100040045.bu,105,150,7,12,UE2020
o00407-9063800070021.bu,o00407-9063800070021.bu,140,114,6,4,UE2015
o00407-9051400530355.bu,o00407-9051400530355.bu,148,101,3,12,UE2020
o00407-9051400080239.bu,o00407-9051400080239.bu,114,110,3,9,UE2020
o00407-9063800070258.bu,o00407-9063800070258.bu,106,122,1,4,UE2015
