boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-9875200230232.bu,o00407-9875200230232.bu,106,39,1,4,UE2015
o00407-9047600060253.bu,o00407-9047600060253.bu,88,98,2,2,UE2011
o00407-9193600310050.bu,o00407-9193600310050.bu,213,76,1,1,UE2009
o00407-9167700200344.bu,o00407-9167700200344.bu,146,172,3,3,UE2020
o00407-9167700200665.bu,o00407-9167700200665.bu,94,107,4,6,UE2020
o00407-9875200230105.bu,o00407-9875200230105.bu,129,41,2,3,UE2015
o00407-9901500610026.bu,o00407-9901500610026.bu,180,57,1,1,UE2015
o00407-9865500260076.bu,o00407-9865500260076.bu,108,112,1,1,UE2009
o00407-9058100480127.bu,o00407-9058100480127.bu,170,48,2,4,UE2015
o00407-9022000270099.bu,o00407-9022000270099.bu,233,45,1,1,UE2009
o00407-8985000220521.bu,o00407-8985000220521.bu,224,57,0,5,UE2010
o00407-9167700490214.bu,o00407-9167700490214.bu,148,121,4,2,UE2020
o00407-9010700360150.bu,o00407-9010700360150.bu,172,42,0,4,UE2009
o00407-9100600610090.bu,o00407-9100600610090.bu,160,63,2,3,UE2015
o00407-9067000390692.bu,o00407-9067000390692.bu,161,115,5,10,UE2020
o00407-9082400570063.bu,o00407-9082400570063.bu,65,6,0,0,UE2015
o00407-9151000100319.bu,o00407-9151000100319.bu,250,49,1,6,UE2020
o00407-9199500290026.bu,o00407-9199500290026.bu,156,40,0,3,UE2009
o00407-9151000460186.bu,o00407-9151000460186.bu,150,76,1,3,UE2020
o00407-9193600310021.bu,o00407-9193600310021.bu,126,21,1,3,UE2009
o00407-9067000390429.bu,o00407-9067000390429.bu,179,141,4,2,UE2020
o00407-8999000250037.bu,o00407-8999000250037.bu,165,52,2,5,UE2009
o00407-9861200080115.bu,o00407-9861200080115.bu,157,47,3,5,UE2020
o00407-9067000510325.bu,o00407-9067000510325.bu,234,91,1,4,UE2020
o00407-8987700240139.bu,o00407-8987700240139.bu,217,91,3,7,UE2009
o00407-9108100430190.bu,o00407-9108100430190.bu,165,43,0,1,UE2013
o00407-9151000100437.bu,o00407-9151000100437.bu,201,83,2,1,UE2020
o00407-9167700200555.bu,o00407-9167700200555.bu,193,81,2,4,UE2020
o00407-8978800110048.bu,o00407-8978800110048.bu,223,59,1,1,UE2015
o00407-8999000250291.bu,o00407-8999000250291.bu,217,59,2,4,UE2009
o00407-9151000100411.bu,o00407-9151000100411.bu,211,88,2,7,UE2020
o00407-9009300070020.bu,o00407-9009300070020.bu,61,87,1,2,UE2011
o00407-9064600050106.bu,o00407-9064600050106.bu,219,74,3,1,UE2010
o00407-9191000300016.bu,o00407-9191000300016.bu,171,53,1,1,UE2009
o00407-9889200400192.bu,o00407-9889200400192.bu,236,30,2,3,UE2020
o00407-9067000010857.bu,o00407-9067000010857.bu,191,93,8,5,UE2020
o00407-9167700200347.bu,o00407-9167700200347.bu,75,93,1,3,UE2020
o00407-9090500530103.bu,o00407-9090500530103.bu,112,62,0,2,UE2015
o00407-9889200400179.bu,o00407-9889200400179.bu,221,84,4,3,UE2020
o00407-9060300210145.bu,o00407-9060300210145.bu,269,42,1,0,UE2011
o00407-9052200320100.bu,o00407-9052200320100.bu,218,43,2,4,UE2015
o00407-9151000460252.bu,o00407-9151000460252.bu,160,110,2,5,UE2020
o00407-8985000220480.bu,o00407-8985000220480.bu,252,54,2,4,UE2010
o00407-9121900200637.bu,o00407-9121900200637.bu,32,112,0,2,UE2020
