boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-0471500340581.bu,o00407-0471500340581.bu,138,76,0,2,UE2015
o00407-0427800760359.bu,o00407-0427800760359.bu,138,170,1,9,UE2020
o00407-0415400720522.bu,o00407-0415400720522.bu,140,169,6,2,UE2020
o00407-0483900230414.bu,o00407-0483900230414.bu,167,76,3,7,UE2010
o00407-0415400720562.bu,o00407-0415400720562.bu,159,181,4,6,UE2020
o00407-0483900230606.bu,o00407-0483900230606.bu,87,106,4,4,UE2010
o00407-0415400720233.bu,o00407-0415400720233.bu,180,140,6,7,UE2020
o00407-0575400790035.bu,o00407-0575400790035.bu,168,60,6,4,UE2015
o00407-0567300590101.bu,o00407-0567300590101.bu,172,106,1,1,UE2010
o00407-0567300590234.bu,o00407-0567300590234.bu,182,89,2,2,UE2010
o00407-0569000600014.bu,o00407-0569000600014.bu,169,78,2,5,UE2015
o00407-0427800010522.bu,o00407-0427800010522.bu,142,212,5,8,UE2020
o00407-0583501060302.bu,o00407-0583501060302.bu,178,110,2,1,UE2010
o00407-0403000940142.bu,o00407-0403000940142.bu,86,211,1,8,UE2010
o00407-0535500200749.bu,o00407-0535500200749.bu,18,104,1,1,UE2011
o00407-0441300120344.bu,o00407-0441300120344.bu,103,207,4,3,UE2015
o00407-0535500830174.bu,o00407-0535500830174.bu,169,96,4,6,UE2011
o00407-0545200530207.bu,o00407-0545200530207.bu,104,51,0,3,UE2011
o00407-0401400070065.bu,o00407-0401400070065.bu,78,152,3,7,UE2010
o00407-0545200530037.bu,o00407-0545200530037.bu,126,96,3,2,UE2011
o00407-0479000880017.bu,o00407-0479000880017.bu,57,201,3,7,UE2020
o00407-0477401050061.bu,o00407-0477401050061.bu,90,94,0,1,UE2013
o00407-0474000210165.bu,o00407-0474000210165.bu,70,157,4,5,UE2015
o00407-0509600420007.bu,o00407-0509600420007.bu,148,86,3,0,UE2010
o00407-0457000090085.bu,o00407-0457000090085.bu,102,90,2,4,UE2020
o00407-0535500200865.bu,o00407-0535500200865.bu,206,117,3,6,UE2011
o00407-0427800960358.bu,o00407-0427800960358.bu,104,162,1,8,UE2020
o00407-0525800030007.bu,o00407-0525800030007.bu,93,140,3,3,UE2015
o00407-0483900230618.bu,o00407-0483900230618.bu,82,133,4,0,UE2010
o00407-0553300480018.bu,o00407-0553300480018.bu,47,224,0,1,UE2015
o00407-0481200050100.bu,o00407-0481200050100.bu,65,144,0,0,UE2020
o00407-0415400720069.bu,o00407-0415400720069.bu,149,153,2,11,UE2020
o00407-0465000060040.bu,o00407-0465000060040.bu,117,165,3,4,UE2010
o00407-0472300800052.bu,o00407-0472300800052.bu,84,89,0,1,UE2009
o00407-0442101010035.bu,o00407-0442101010035.bu,66,89,1,2,UE2013
o00407-0446400570097.bu,o00407-0446400570097.bu,75,129,1,6,UE2010
o00407-0427800980309.bu,o00407-0427800980309.bu,200,176,7,9,UE2020
o00407-0415400720278.bu,o00407-0415400720278.bu,151,160,6,7,UE2020
o00407-0563000080070.bu,o00407-0563000080070.bu,36,99,1,3,UE2020
o00407-0434000490152.bu,o00407-0434000490152.bu,37,170,0,5,UE2010
o00407-0547900050149.bu,o00407-0547900050149.bu,128,177,2,4,UE2020
o00407-0441300120203.bu,o00407-0441300120203.bu,74,247,3,1,UE2015
o00407-0422700180213.bu,o00407-0422700180213.bu,193,95,2,1,UE2013
o00407-0402200930139.bu,o00407-0402200930139.bu,180,95,1,1,UE2020
o00407-0441300120326.bu,o00407-0441300120326.bu,24,73,0,0,UE2015
o00407-0427800290649.bu,o00407-0427800290649.bu,154,167,4,3,UE2020
o00407-0409000550017.bu,o00407-0409000550017.bu,56,135,1,2,UE2015
o00407-0472300800055.bu,o00407-0472300800055.bu,101,134,2,4,UE2009
o00407-0402200930016.bu,o00407-0402200930016.bu,103,121,2,4,UE2020
o00407-0583501060321.bu,o00407-0583501060321.bu,228,118,2,2,UE2010
o00407-0483901000080.bu,o00407-0483901000080.bu,110,64,0,1,UE2010
o00407-0411100180443.bu,o00407-0411100180443.bu,153,111,3,5,UE2009
o00407-0561400400129.bu,o00407-0561400400129.bu,87,125,1,4,UE2010
o00407-0427800730699.bu,o00407-0427800730699.bu,203,194,4,12,UE2020
o00407-0406500640171.bu,o00407-0406500640171.bu,59,132,2,3,UE2020
o00407-0493600370019.bu,o00407-0493600370019.bu,82,150,5,6,UE2010
