boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-1713200100057.bu,o00407-1713200100057.bu,52,142,4,5,UE2020
o00407-1873200630024.bu,o00407-1873200630024.bu,61,171,2,9,UE2015
o00407-1759000330252.bu,o00407-1759000330252.bu,45,122,0,3,UE2010
o00407-1761200690292.bu,o00407-1761200690292.bu,149,212,4,13,UE2020
o00407-1761200040201.bu,o00407-1761200040201.bu,193,216,4,7,UE2020
o00407-1641100680074.bu,o00407-1641100680074.bu,42,234,1,10,UE2020
o00407-1661600200025.bu,o00407-1661600200025.bu,111,125,3,3,UE2010
o00407-1889900490039.bu,o00407-1889900490039.bu,97,172,7,7,UE2013
o00407-1761200020243.bu,o00407-1761200020243.bu,151,190,3,8,UE2020
o00407-1609800410070.bu,o00407-1609800410070.bu,40,187,0,8,UE2015
o00407-1639000250112.bu,o00407-1639000250112.bu,120,212,8,0,UE2010
o00407-1761200690234.bu,o00407-1761200690234.bu,169,183,5,8,UE2020
o00407-1761200020391.bu,o00407-1761200020391.bu,163,157,4,8,UE2020
o00407-1655100680019.bu,o00407-1655100680019.bu,59,177,5,10,UE2020
o00407-1881300090110.bu,o00407-1881300090110.bu,106,103,0,2,UE2009
o00407-1823600160062.bu,o00407-1823600160062.bu,110,173,2,13,UE2020
o00407-1753100120204.bu,o00407-1753100120204.bu,37,143,2,9,UE2009
o00407-1829500130021.bu,o00407-1829500130021.bu,37,111,2,7,UE2020
o00407-1681000090056.bu,o00407-1681000090056.bu,60,222,6,8,UE2009
o00407-1625000310017.bu,o00407-1625000310017.bu,66,165,1,6,UE2015
o00407-1761200030271.bu,o00407-1761200030271.bu,173,236,2,7,UE2020
o00407-1779500500406.bu,o00407-1779500500406.bu,119,72,1,2,UE2020
o00407-1785000370029.bu,o00407-1785000370029.bu,75,195,3,4,UE2015
o00407-1763900670018.bu,o00407-1763900670018.bu,118,144,0,6,UE2009
o00407-1661600200021.bu,o00407-1661600200021.bu,81,87,1,5,UE2010
o00407-1713200100166.bu,o00407-1713200100166.bu,26,186,1,5,UE2020
o00407-1617900380001.bu,o00407-1617900380001.bu,22,151,5,4,UE2015
o00407-1789200520073.bu,o00407-1789200520073.bu,67,147,2,8,UE2020
o00407-1761200030492.bu,o00407-1761200030492.bu,239,228,2,2,UE2020
o00407-1609800410065.bu,o00407-1609800410065.bu,21,146,2,2,UE2015
o00407-1761200010491.bu,o00407-1761200010491.bu,116,145,3,7,UE2020
o00407-1881300090113.bu,o00407-1881300090113.bu,70,187,3,7,UE2009
o00407-1761200040438.bu,o00407-1761200040438.bu,200,207,1,15,UE2020
o00407-1761200010527.bu,o00407-1761200010527.bu,114,119,2,5,UE2020
o00407-1661600200173.bu,o00407-1661600200173.bu,61,203,2,7,UE2010
o00407-1761200690298.bu,o00407-1761200690298.bu,168,204,6,11,UE2020
o00407-1683700490083.bu,o00407-1683700490083.bu,50,173,2,8,UE2013
o00407-1695000450019.bu,o00407-1695000450019.bu,59,160,1,9,UE2015
o00407-1761200040425.bu,o00407-1761200040425.bu,183,182,2,13,UE2020
o00407-1837600510180.bu,o00407-1837600510180.bu,147,156,5,10,UE2020
o00407-1699300620063.bu,o00407-1699300620063.bu,51,176,6,4,UE2020
o00407-1610100200193.bu,o00407-1610100200193.bu,50,226,0,6,UE2010
o00407-1759000330096.bu,o00407-1759000330096.bu,64,120,0,7,UE2010
o00407-1797300470032.bu,o00407-1797300470032.bu,64,230,1,5,UE2013
o00407-1761200690111.bu,o00407-1761200690111.bu,165,200,7,23,UE2020
o00407-1841400070050.bu,o00407-1841400070050.bu,57,175,3,3,UE2009
o00407-1801500620016.bu,o00407-1801500620016.bu,34,240,1,5,UE2020
o00407-1661600200088.bu,o00407-1661600200088.bu,72,155,3,6,UE2010
o00407-1837600510100.bu,o00407-1837600510100.bu,100,186,3,4,UE2020
o00407-1743400300016.bu,o00407-1743400300016.bu,43,166,1,4,UE2011
