boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-0013200040263.bu,o00407-0013200040263.bu,153,44,3,2,UE2013
o00407-0039600320083.bu,o00407-0039600320083.bu,138,50,0,3,UE2015
o00407-0003500020294.bu,o00407-0003500020294.bu,182,72,4,4,UE2020
o00407-0011600090086.bu,o00407-0011600090086.bu,165,60,2,5,UE2010
o00407-0031000170043.bu,o00407-0031000170043.bu,125,60,4,3,UE2013
o00407-0003500210194.bu,o00407-0003500210194.bu,161,95,2,6,UE2020
o00407-0017500130246.bu,o00407-0017500130246.bu,110,62,2,7,UE2009
o00407-0078700160096.bu,o00407-0078700160096.bu,109,45,1,1,UE2009
o00407-0077900340018.bu,o00407-0077900340018.bu,160,51,2,3,UE2009
o00407-0051500150127.bu,o00407-0051500150127.bu,128,84,1,5,UE2009
o00407-0015900100245.bu,o00407-0015900100245.bu,144,46,1,7,UE2009
o00407-0039600320079.bu,o00407-0039600320079.bu,124,51,2,4,UE2015
o00407-0007800070015.bu,o00407-0007800070015.bu,167,34,4,5,UE2020
o00407-0015900100155.bu,o00407-0015900100155.bu,194,57,1,5,UE2015
o00407-0058200350057.bu,o00407-0058200350057.bu,116,87,1,4,UE2015
o00407-0007800070027.bu,o00407-0007800070027.bu,160,35,0,3,UE2020
o00407-0003500200264.bu,o00407-0003500200264.bu,161,86,2,7,UE2020
o00407-0059000270043.bu,o00407-0059000270043.bu,124,47,1,5,UE2009
o00407-0047700210316.bu,o00407-0047700210316.bu,97,108,0,5,UE2015
o00407-0035300190087.bu,o00407-0035300190087.bu,156,63,3,7,UE2015
o00407-0003500020241.bu,o00407-0003500020241.bu,158,85,1,7,UE2020
o00407-0077900340079.bu,o00407-0077900340079.bu,134,35,0,1,UE2009
o00407-0003500020121.bu,o00407-0003500020121.bu,129,82,2,3,UE2020
o00407-0069800320056.bu,o00407-0069800320056.bu,164,55,5,7,UE2009
o00407-0011600090009.bu,o00407-0011600090009.bu,131,53,3,7,UE2010
o00407-0009400110375.bu,o00407-0009400110375.bu,115,64,0,8,UE2009
o00407-0005100300196.bu,o00407-0005100300196.bu,259,67,3,3,UE2020
o00407-0001900010034.bu,o00407-0001900010034.bu,141,57,0,0,UE2015
o00407-0019100030323.bu,o00407-0019100030323.bu,78,76,3,0,UE2020
o00407-0045000080073.bu,o00407-0045000080073.bu,212,111,2,8,UE2010
o00407-0023000080009.bu,o00407-0023000080009.bu,196,88,3,6,UE2010
o00407-0009400110300.bu,o00407-0009400110300.bu,201,38,2,4,UE2009
o00407-0005100300053.bu,o00407-0005100300053.bu,149,39,3,2,UE2020
o00407-0003500060491.bu,o00407-0003500060491.bu,168,89,1,3,UE2020
