boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-8584701010049.bu,o00407-8584701010049.bu,62,58,0,2,UE2009
o00407-8593601520113.bu,o00407-8593601520113.bu,258,101,5,4,UE2011
o00407-8831500390083.bu,o00407-8831500390083.bu,84,143,5,3,UE2010
o00407-8805600960025.bu,o00407-8805600960025.bu,141,102,2,5,UE2009
o00407-8801301110119.bu,o00407-8801301110119.bu,197,119,8,5,UE2020
o00407-8585500650020.bu,o00407-8585500650020.bu,187,82,8,10,UE2020
o00407-8791200600046.bu,o00407-8791200600046.bu,105,158,6,11,UE2020
o00407-8785801280485.bu,o00407-8785801280485.bu,181,136,3,8,UE2020
o00407-8531600070005.bu,o00407-8531600070005.bu,101,100,4,4,UE2015
o00407-8619300170112.bu,o00407-8619300170112.bu,78,65,4,2,UE2011
o00407-8559600100199.bu,o00407-8559600100199.bu,113,73,3,2,UE2009
o00407-8737800620169.bu,o00407-8737800620169.bu,172,115,3,7,UE2010
o00407-8683500710399.bu,o00407-8683500710399.bu,177,92,4,9,UE2020
o00407-8891900810010.bu,o00407-8891900810010.bu,131,92,4,7,UE2010
o00407-8685100900314.bu,o00407-8685100900314.bu,112,163,2,7,UE2020
o00407-8862500570084.bu,o00407-8862500570084.bu,88,127,4,2,UE2013
o00407-8791200340307.bu,o00407-8791200340307.bu,101,183,5,10,UE2020
o00407-8785800330026.bu,o00407-8785800330026.bu,140,78,3,6,UE2020
o00407-8592801680001.bu,o00407-8592801680001.bu,105,116,5,6,UE2010
o00407-8721100250047.bu,o00407-8721100250047.bu,98,143,7,13,UE2010
o00407-8629000180013.bu,o00407-8629000180013.bu,73,106,2,5,UE2010
o00407-8943501330098.bu,o00407-8943501330098.bu,145,133,5,9,UE2010
o00407-8651700970144.bu,o00407-8651700970144.bu,139,122,1,7,UE2020
o00407-8841201350166.bu,o00407-8841201350166.bu,146,116,3,2,UE2020
o00407-8511101240290.bu,o00407-8511101240290.bu,139,84,7,4,UE2015
o00407-8801301580403.bu,o00407-8801301580403.bu,127,168,4,9,UE2020
o00407-8683500710102.bu,o00407-8683500710102.bu,178,113,3,9,UE2020
o00407-8713000240046.bu,o00407-8713000240046.bu,166,111,6,6,UE2010
o00407-8905201320040.bu,o00407-8905201320040.bu,98,113,5,11,UE2010
o00407-8657601190029.bu,o00407-8657601190029.bu,157,59,7,4,UE2011
o00407-8801301110201.bu,o00407-8801301110201.bu,120,178,6,13,UE2020
o00407-8963000590060.bu,o00407-8963000590060.bu,121,151,5,14,UE2020
o00407-8839001620407.bu,o00407-8839001620407.bu,189,110,5,8,UE2020
o00407-8599501360422.bu,o00407-8599501360422.bu,174,94,5,6,UE2020
o00407-8619300170025.bu,o00407-8619300170025.bu,78,105,3,4,UE2015
o00407-8593601520053.bu,o00407-8593601520053.bu,200,81,3,10,UE2015
o00407-8599500160315.bu,o00407-8599500160315.bu,105,47,2,6,UE2020
o00407-8555300090072.bu,o00407-8555300090072.bu,106,132,9,11,UE2010
o00407-8629000180122.bu,o00407-8629000180122.bu,98,162,5,7,UE2010
o00407-8599501360551.bu,o00407-8599501360551.bu,201,91,11,11,UE2020
o00407-8891900810048.bu,o00407-8891900810048.bu,124,83,8,7,UE2010
o00407-8559600100036.bu,o00407-8559600100036.bu,185,79,4,8,UE2010
o00407-8737800620185.bu,o00407-8737800620185.bu,186,75,7,3,UE2010
o00407-8625801530037.bu,o00407-8625801530037.bu,167,48,2,2,UE2013
o00407-8877300510451.bu,o00407-8877300510451.bu,134,137,4,2,UE2020
o00407-8886201310177.bu,o00407-8886201310177.bu,191,105,8,12,UE2009
o00407-8751301220032.bu,o00407-8751301220032.bu,75,67,2,1,UE2010
o00407-8801301140563.bu,o00407-8801301140563.bu,127,153,8,6,UE2020
o00407-8619300170006.bu,o00407-8619300170006.bu,90,54,3,1,UE2009
o00407-8511100740100.bu,o00407-8511100740100.bu,107,95,6,5,UE2009
o00407-8791200340087.bu,o00407-8791200340087.bu,121,152,3,11,UE2020
